JnlTitle,Publisher,PubCountry,Fee,WaiverPolicy,Identifiers,FirstYear,Language,ReviewProcess,Plagiarism,Sub2Pub,JnlLicense,AuthorCopyright,DOAJ_Seal
Emerita,Consejo Superior de Investigaciones Científicas,Spain,No,NA,DOI,1974,Spanish; Castilian,Double blind peer review,Yes,48,CC BY,False,No
Greek Review of Social Research,EKKE,Greece,No,NA,DOI,1969,"Greek, Modern (1453-)",Double blind peer review,NA,16,CC BY-NC-SA,True,No
Építőanyag: Journal of Silicate Based and Composite Materials,Scientific Society of the Silicate Industry (SZTE),Hungary,No,NA,DOI,2013,"English, Hungarian",Blind peer review,NA,12,CC BY-NC,False,No
DIE ERDE: Journal of the Geographical Society of Berlin,Gesellschaft für Erdkunde zu Berlin,Germany,Yes,NA,DOI,2013,English,Peer review,Yes,30,CC BY,True,No
Estudios Geográficos,Consejo Superior de Investigaciones Científicas,Spain,No,NA,DOI,2001,"English, Spanish; Castilian",Double blind peer review,NA,48,CC BY-NC,False,No
Fennia: International Journal of Geography,Geographical Society of Finland,Finland,No,NA,DOI,2010,English,Double blind peer review,Yes,16,CC BY,True,No
Florida Entomologist,Florida Entomological Society,United States,Yes,NA,,1994,English,Blind peer review,NA,8,CC BY-NC,True,No
Fluoride,International Society for Fluoride Research Inc.,New Zealand,No,NA,,1968,"Chinese, English, Japanese, Spanish; Castilian",Peer review,NA,33,Publisher's own license,False,No
Geographica Helvetica,Copernicus Publications,Germany,No,Yes,DOI,1946,"English, French, German, Italian",Double blind peer review,Yes,53,CC BY,True,Yes
Geologija ,Geological Survey of Slovenia,Slovenia,No,NA,DOI,1990,"English, Slovenian",Peer review,NA,10,CC BY,True,No
Ginekologia Polska,VM Media sp. z o.o. VM Group sp.k. Grupa Via Medica,Poland,Yes,NA,DOI,2007,"English, Polish",Double blind peer review,NA,35,CC BY-NC-ND,False,No
Grasas y Aceites,Consejo Superior de Investigaciones Científicas,Spain,No,NA,DOI,1991,"English, Spanish; Castilian",Double blind peer review,NA,48,CC BY-NC,False,No
"Greek, Roman, and Byzantine Studies ",Duke University,United States,No,NA,,2004,English,Blind peer review,NA,22,CC BY,True,No
Heimen,Scandinavian University Press/Universitetsforlaget,Norway,No,NA,DOI,2017,"Bokmål, Norwegian; Norwegian Bokmål, Norwegian Nynorsk; Nynorsk, Norwegian",Double blind peer review,NA,52,CC BY-NC,True,No
Hereditas,BioMed Central,United Kingdom,Yes,Yes,DOI,2005,English,Blind peer review,Yes,6,CC BY,True,Yes
Hispania,Consejo Superior de Investigaciones Científicas,Spain,No,NA,DOI,2001,Spanish; Castilian,Double blind peer review,NA,48,CC BY,False,No
Hispania Sacra,Consejo Superior de Investigaciones Científicas,Spain,No,NA,DOI,2001,Spanish; Castilian,Double blind peer review,NA,48,CC BY-NC,False,No
Indian Heart Journal,Elsevier,Netherlands,No,Yes,DOI,2013,English,Double blind peer review,Yes,53,CC BY-NC-ND,False,No
Indian Journal of Anaesthesia,Wolters Kluwer Medknow Publications,India,No,NA,DOI,2002,English,Double blind peer review,NA,36,CC BY-NC-SA,False,No
Indian Journal of Dermatology,Wolters Kluwer Medknow Publications,India,No,NA,DOI,2005,English,Blind peer review,NA,47,CC BY-NC-SA,False,No
Indian Journal of Orthopaedics,Wolters Kluwer Medknow Publications,India,No,NA,DOI,2005,English,Double blind peer review,NA,53,CC BY-NC-SA,False,No
Indian Journal of Psychiatry,Wolters Kluwer Medknow Publications,India,No,NA,DOI,2007,English,Double blind peer review,NA,34,CC BY-NC-SA,False,No
Informes de la Construccion,Consejo Superior de Investigaciones Científicas,Spain,No,NA,DOI,1971,"English, Spanish; Castilian",Double blind peer review,NA,48,CC BY-NC,False,No
Arquivos do Instituto Biológico,Zeppelini Editorial,Brazil,Yes,NA,DOI,2000,"English, Portuguese, Spanish; Castilian",Peer review,NA,48,CC BY-NC,False,No
Revista do Instituto de Estudos Brasileiros ,Instituto de Estudos Brasileiros,Brazil,No,NA,,2012,"English, Portuguese",Peer review,NA,16,CC BY-NC,False,No
Annali dell'Istituto Superiore di Sanità,Istituto Superiore di Sanità,Italy,No,NA,DOI,2001,English,Blind peer review,NA,8,CC BY-NC-ND,True,No
Jornal de Pediatria,Elsevier,Netherlands,No,Yes,DOI,2013,English,Double blind peer review,Yes,12,CC BY-NC-ND,False,No
Journal of Glaciology,Cambridge University Press,United Kingdom,Yes,Yes,DOI,2016,English,Blind peer review,NA,18,CC BY-NC-ND,False,No
Journal of Postgraduate Medicine,Wolters Kluwer Medknow Publications,India,No,NA,DOI,1990,English,Double blind peer review,NA,40,CC BY-NC-SA,False,No
Kemija u Industriji,Croatian Society of Chemical Engineers,Croatia,No,NA,DOI,2004,"Croatian, English",Blind peer review,Yes,24,CC BY,True,No
Knjižnica,"Zveza Bibliotekarskih Društev Slovenije, Narodna in Univerzitetna Knjižnica",Slovenia,No,NA,"URN - when deposited in the digital repository of the National and University Library, each article is assigned an active and permanent URN identifier",2000,"Croatian, English, German, Slovenian",Double blind peer review,NA,8,CC BY-NC,True,No
Koers : Bulletin for Christian Scholarship,Scriber Editorial Systems,South Africa,Yes,NA,DOI,1934,"Afrikaans, English",Double blind peer review,Yes,12,CC BY,True,No
Kunst og Kultur,Scandinavian University Press/Universitetsforlaget,Norway,No,NA,DOI,2017,"Bokmål, Norwegian; Norwegian Bokmål, Norwegian Nynorsk; Nynorsk, Norwegian",Double blind peer review,NA,52,CC BY-NC,True,No
Icelandic Medical Journal,The Icelandic Medical Association,Iceland,No,NA,,2000,Icelandic,Blind peer review,Yes,10,CC BY-NC-ND,False,No
Landtechnik,Kuratorium für Technik und Bauwesen in der Landwirtschaft e. V.,Germany,No,NA,DOI,2015,"English, German",Blind peer review,NA,16,CC BY,True,Yes
Revista Lecciones y Ensayos,Editorial Universitaria de Buenos Aires,Argentina,No,NA,,2003,Spanish; Castilian,Double blind peer review,Yes,12,Publisher's own license,False,No
Linguistica,"Znanstvena založba Filozofske fakultete Univerze v Ljubljani (Ljubljana University Press, Faculty of Arts)",Slovenia,No,NA,DOI,2008,"English, French, German, Italian, Slovenian",Double blind peer review,NA,12,CC BY-SA,True,No
Indonesian Journal of Geography,Universitas Gadjah Mada,Indonesia,Yes,NA,,1986,English,Double blind peer review,NA,8,CC BY-NC,False,No
Matematički Vesnik,Mathematical Society of Serbia,Serbia,No,NA,,1993,English,Peer review,NA,25,CC BY,True,No
Medicina (Buenos Aires),Fundación Revista Medicina,Argentina,Yes,Yes,PMID,2003,"English, Spanish; Castilian",Blind peer review,NA,8,CC BY,False,No
Medicine,Wolters Kluwer,United States,Yes,NA,DOI,2014,English,Peer review,Yes,3,CC BY-NC-ND,True,No
Journal of the Meteorological Society of Japan,Meteorologial Society of Japan,Japan,Yes,Yes,DOI,2018,English,Peer review,NA,6,CC BY,False,No
Micronesica,University of Guam Press,Guam,Yes,NA,,1999,English,Peer review,NA,12,CC BY-NC-ND,False,No
Bulletin of the Mineral Research and Exploration,General Directorate of Mineral Research and Exploration,Turkey,No,NA,DOI,1936,English,Peer review,Yes,10,CC BY-NC-ND,False,No
Mljekarstvo,Croatian Dairy Union,Croatia,No,NA,DOI,2001,"Croatian, English",Peer review,NA,12,CC BY-NC,False,No
Moneta e Credito,Associazione Economia civile,Italy,No,NA,,2009,Italian,Double blind peer review,NA,20,CC BY-NC-ND,True,No
Journal of Nepal Medical Association,Nepal Medical Association,Nepal,No,NA,"we are communicating to get doi, hopefully from 2017",2005,English,Double blind peer review,Yes,10,CC BY,True,No
Norsk Filosofisk Tidsskrift,Scandinavian University Press/Universitetsforlaget,Norway,No,NA,DOI,2017,"Bokmål, Norwegian; Norwegian Bokmål, Norwegian Nynorsk; Nynorsk, Norwegian",Double blind peer review,NA,52,CC BY-NC,True,No
North Carolina Libraries,North Carolina Library Association,United States,No,NA,,1942,English,Peer review,NA,12,Publisher's own license,False,No
The Nucleus,Pakistan Institute of Nuclear Science and Technology (PINSTECH),Pakistan,No,NA,,2016,English,Blind peer review,NA,11,CC BY,False,No
Nukleonika,De Gruyter Open,Poland,Yes,NA,DOI,2014,English,Double blind peer review,Yes,27,CC BY-NC-ND,True,No
Onderstepoort Journal of Veterinary Research,AOSIS,South Africa,No,NA,DOI,2003,English,Double blind peer review,Yes,16,CC BY,True,Yes
Paediatrica Indonesiana,Indonesian Pediatric Society Publishing House,Indonesia,No,NA,DOI,2001,English,Peer review,NA,24,CC BY-SA,False,No
Pakistan Armed Forces Medical Journal,The Army Press,Pakistan,Yes,NA,,2005,English,Double blind peer review,Yes,24,CC BY-NC,False,No
Papéis Avulsos de Zoologia,Universidade de São Paulo,Brazil,No,NA,DOI,2002,"English, Portuguese, Spanish; Castilian",Peer review,NA,8,CC BY,False,No
Pensamiento. Revista de Investigación e Información Filosófica,Universidad Pontificia Comillas,Spain,No,NA,DOI,2016,Spanish; Castilian,Peer review,NA,52,CC BY-NC-ND,False,No
Phytopathologia Mediterranea,Firenze University Press,Italy,Yes,NA,DOI,2014,English,Peer review,NA,8,CC BY,True,Yes
Platinum Metals Review,Johnson Matthey Plc,United Kingdom,No,NA,DOI,1998,English,Peer review,NA,12,CC BY-NC-ND,False,No
Politička Misao,"University of Zagreb, Faculty of Political Science ",Croatia,No,NA,DOI,2014,"Croatian, English",Double blind peer review,Yes,3,CC BY-NC-ND,True,No
Postępy Higieny i Medycyny Doświadczalnej,Index Copernicus International S.A.,Poland,Yes,NA,,2004,"English, Polish",Double blind peer review,NA,8,CC BY-NC,False,No
Prismet,Kirkelig Pedagogisk Senter (IKO),Norway,No,NA,DOI,2017,"Bokmål, Norwegian; Norwegian Bokmål, Danish, English, Swedish",Double blind peer review,NA,24,CC BY-NC,True,No
Przegląd Dermatologiczny,Termedia Publishing House,Poland,No,NA,DOI,2009,"English, Polish",Double blind peer review,Yes,12,CC BY-NC-SA,True,No
Psyche: A Journal of Entomology,Hindawi Limited,United Kingdom,Yes,Yes,DOI,1874,English,Blind peer review,Yes,15,CC BY,True,Yes
Psychologica Belgica,Ubiquity Press,United Kingdom,Yes,NA,DOI,2004,English,Double blind peer review,Yes,4,CC BY,True,Yes
Quaderni di Sociologia,Rosenberg & Sellier,Italy,No,NA,"DOI, Handles",2010,"English, Italian",Double blind peer review,NA,24,CC BY-NC-ND,False,No
Reinwardtia,Indonesian Institute of Sciences,Indonesia,No,NA,,1970,English,Blind peer review,Yes,12,CC BY-NC-SA,False,No
Rheumatology,Termedia Publishing House,Poland,No,NA,DOI,2005,English,Blind peer review,Yes,10,CC BY-NC-SA,True,No
Revista Argentina de Cardiología,Sociedad Argentina de Cardiología,Argentina,No,NA,,2010,"English, Spanish; Castilian",Double blind peer review,NA,16,CC BY-NC-SA,False,No
Revista Brasileira de Anestesiologia,Sociedade Brasileira de Anestesiologia,Brazil,No,NA,DOI,2001,"English, Portuguese, Spanish; Castilian",Double blind peer review,NA,21,CC BY-NC-ND,False,No
Revista Brasileira de Economia,Fundação Getúlio Vargas,Brazil,Yes,NA,DOI,1999,"English, Portuguese",Peer review,NA,20,CC BY,False,No
Revista Brasileira de Enfermagem,Associação Brasileira de Enfermagem,Brazil,Yes,NA,,1983,"English, Portuguese, Spanish; Castilian",Double blind peer review,NA,21,CC BY,False,No
Revista Brasileira de Estudos Pedagógicos,Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,Brazil,No,NA,DOI,2007,"English, Portuguese, Spanish; Castilian",Blind peer review,NA,24,CC BY-NC,False,No
Revista Brasileira de Odontologia,Associação Brasileira de Odontologia ,Brazil,No,NA,,2008,English,Blind peer review,Yes,13,CC BY,False,No
Revista Brasileira de Oftalmologia,Sociedade Brasileira de Oftalmologia,Brazil,No,NA,,2007,"English, Portuguese, Spanish; Castilian",Peer review,Yes,13,CC BY,False,No
Revista Brasileira de Otorrinolaringologia,Sociedade Brasileira de Otorrinolaringologia,Brazil,NA,NA,,2001,"Portuguese, English",NA,NA,NA,NA,NA,No
Revista Brasileira de Política Internacional,Instituto Brasileiro de Relações Internacionais,Brazil,No,NA,,1997,"English, Portuguese, Spanish; Castilian",Double blind peer review,Yes,14,CC BY,False,No
Revista Ceres,Universidade Federal De Viçosa,Brazil,Yes,NA,DOI,2010,"English, Portuguese",Peer review,NA,16,CC BY,False,No
Revista Cubana de Cirugía,Editorial Ciencias Médicas,Cuba,No,NA,DOI,1995,Spanish; Castilian,Peer review,NA,4,CC BY-NC-SA,True,No
Revista Cubana de Estomatología,Editorial Ciencias Médicas,Cuba,No,NA,,1996,Spanish; Castilian,Peer review,NA,4,CC BY-NC-SA,False,No
Revista Cubana de Farmacia,Editorial Ciencias Médicas,Cuba,No,NA,,1995,Spanish; Castilian,Peer review,NA,4,CC BY-NC-SA,False,No
Revista Cubana de Pediatría,Editorial Ciencias Médicas,Cuba,No,NA,,1995,Spanish; Castilian,Blind peer review,NA,4,CC BY-NC-SA,False,No
RAE: Revista de Administração de Empresas ,Fundação Getulio Vargas,Brazil,No,NA,DOI,1961,"English, Portuguese, Spanish; Castilian",Double blind peer review,NA,32,CC BY,False,No
Revista de Administração Pública,Fundação Getúlio Vargas,Brazil,No,NA,,2006,"English, Portuguese, Spanish; Castilian",Double blind peer review,Yes,12,CC BY,False,No
Revista de Biología Tropical,Vicerractoría Investigación,Costa Rica,No,NA,DOI,1998,"English, Spanish; Castilian",Peer review,Yes,5,CC BY,False,No
Revista de Dialectología y Tradiciones Populares,Consejo Superior de Investigaciones Científicas,Spain,No,NA,DOI,1996,"English, Spanish; Castilian",Double blind peer review,NA,48,CC BY-NC,False,No
Revista de Filosofía,Universidad de Chile,Chile,No,NA,,2006,Spanish; Castilian,Double blind peer review,NA,12,CC BY-NC-ND,True,No
Revista de História,Universidade de São Paulo,Brazil,No,NA,,1950,Portuguese,Double blind peer review,NA,24,CC BY-NC,True,No
Revista de Indias,Consejo Superior de Investigaciones Científicas,Spain,No,NA,DOI,1996,"English, French, Portuguese, Spanish; Castilian",Peer review,NA,48,CC BY-NC,False,No
Revista de Literatura,Consejo Superior de Investigaciones Cientificas ,Spain,No,NA,DOI,2001,Spanish; Castilian,Double blind peer review,NA,48,CC BY-NC,False,No
Revista de Metalurgia,Consejo Superior de Investigaciones Científicas,Spain,No,NA,DOI,1995,"English, Spanish; Castilian",Double blind peer review,NA,30,CC BY-NC,False,No
Revista de Pedagogie,Institutul de Stiinte ale Educatiei (Institute of Educational Sciences),Romania,No,NA,DOI,2017,"English, Romanian; Moldavian; Moldovan",Double blind peer review,Yes,20,CC BY-NC-SA,True,No
Revista de Saúde Pública,Universidade de São Paulo,Brazil,Yes,NA,,1967,"English, Portuguese, Spanish; Castilian",Peer review,Yes,13,CC BY,False,No
Interamerican Journal of Psychology,University of Florida,United States,No,NA,,2011,"English, French, Portuguese, Spanish; Castilian",Blind peer review,NA,24,CC BY,False,No
Revista Internacional de Sociología,Consejo Superior de Investigaciones Científicas,Spain,No,NA,DOI,2003,"English, Spanish; Castilian",Blind peer review,NA,53,CC BY-NC,False,No
Revue de Géographie Alpine,Institut de Géographie Alpine ,France,No,NA,,2007,"English, French",Double blind peer review,NA,40,CC BY-NC-ND,False,No
Rivista di Estetica,Rosenberg & Sellier,Italy,No,NA,"DOI, Handles",2014,"English, French, Italian",Double blind peer review,NA,30,CC BY-NC-ND,False,No
Rivista Italiana di Ornitologia - Research in Ornithology ,PAGEPress Publications,Italy,No,Yes,DOI,2010,"English, Italian",Blind peer review,Yes,12,CC BY-NC,True,No
Rivista Italiana di Paleontologia e Stratigrafia,Università degli Studi di Milano,Italy,No,NA,DOI,2016,English,Peer review,NA,16,CC BY-NC-ND,True,No
The Journal of the Rutgers University Library,Rutgers University Libraries,United States,No,NA,DOI,2005,English,Editorial review,NA,20,CC BY-NC,True,No
Salud Pública de México,Instituto Nacional de Salud Pública,Mexico,No,NA,DOI,1997,"English, Spanish; Castilian",Double blind peer review,NA,34,CC BY-NC-SA,False,No
Revista do Instituto de Medicina Tropical de São Paulo,Universidade de São Paulo,Brazil,Yes,NA,,1987,"English, Portuguese",Peer review,NA,8,CC BY-NC,False,No
Scientia Pharmaceutica,Österreichische Apotheker-Verlagsgesellschaft m. b. H.,Austria,Yes,NA,DOI,2006,English,Blind peer review,Yes,10,CC BY,True,No
Sefarad : Revista de Estudios Hebraicos y Sefardíes,Consejo Superior de Investigaciones Científicas,Spain,No,NA,DOI,2001,"English, Portuguese, Spanish; Castilian",Double blind peer review,NA,48,CC BY-NC,False,No
Služba Božja,Catholic faculty of theology Split,Croatia,No,NA,,2000,"Croatian, English, German, Italian",Double blind peer review,NA,24,CC BY,False,No
Social Work/Maatskaplike Werk,Stellenbosch University,South Africa,Yes,NA,DOI,2014,"Afrikaans, English",Double blind peer review,NA,6,CC BY-SA,False,No
Revista da Sociedade Brasileira de Medicina Tropical,Sociedade Brasileira de Medicina Tropical (SBMT),Brazil,No,NA,DOI,1997,"English, Portuguese, Spanish; Castilian",Peer review,NA,8,CC BY,False,No
Boletim da Sociedade Paranaense de Matemática,Sociedade Brasileira de Matemática,Brazil,No,NA,DOI,2002,"English, Portuguese",Double blind peer review,NA,25,CC BY,False,No
South African Journal of Obstetrics and Gynaecology,Health and Medical Publishing Group,South Africa,No,NA,DOI,2006,English,Blind peer review,Yes,15,CC BY-NC,False,No
South African Journal of Science,Academy of Science of South Africa,South Africa,No,NA,DOI,2009,English,Double blind peer review,Yes,52,CC BY,True,Yes
Stanovništvo,"Institute of Social Science, Belgrade",Serbia,No,NA,DOI,2002,"English, Serbian",Peer review,NA,15,CC BY-NC-ND,False,No
"Studii si Cercetari de Istoria Artei : Teatru, Muzică, Cinematografie ",Publishing House of the Romanian Academy,Romania,No,NA,,2007,"English, French, German, Romanian; Moldavian; Moldovan",Blind peer review,NA,40,Publisher's own license,False,No
Taal en Tongval: Language Variation in the Low Countries,Amsterdam University Press,Netherlands,Yes,Yes,DOI,2009,"Dutch; Flemish, English, German",Double blind peer review,NA,53,CC BY-NC-ND,False,No
Tehnika,Savez inženjera i tehničara Srbije,Serbia,No,NA,DOI,2014,"English, Serbian",Blind peer review,NA,4,CC BY,True,No
Tidsskrift for Samfunnsforskning,Scandinavian University Press/Universitetsforlaget,Norway,No,NA,DOI,2017,"Bokmål, Norwegian; Norwegian Bokmål",Double blind peer review,NA,52,CC BY-NC,True,No
El Trimestre Económico,Fondo de Cultura Económica,Mexico,No,NA,DOI,2011,Spanish; Castilian,Peer review,Yes,40,CC BY-NC-ND,False,No
Tydskrif vir Letterkunde,Tydskrif vir Letterkunde Association,South Africa,Yes,Yes,DOI,2015,"Afrikaans, Dutch; Flemish, English, French",Double blind peer review,Yes,16,CC BY-SA,False,No
Tecnología Química,Universidad de Oriente,Cuba,No,NA,,2008,Spanish; Castilian,Double blind peer review,NA,12,CC BY-NC,False,No
Revista do Hospital das Clínicas,Universidade de São Paulo - FM/USP,Brazil,NA,NA,,1999,English,NA,NA,NA,NA,NA,No
Revista de Ciências Sociais,Universidade Federal do Ceará,Brazil,No,NA,,2005,Portuguese,Double blind peer review,NA,50,CC BY,True,No
Veritas,Editora da Pontifícia Universidade Católica do Rio Grande do Sul (EDIPUCRS),Brazil,No,NA,DOI,2005,"English, French, German, Italian, Latin, Portuguese, Spanish; Castilian",Double blind peer review,NA,10,CC BY,True,Yes
Vestnik Dermatologii i Venerologii,State Scientific Center of Dermatovenereology and Cosmetology,Russian Federation,No,NA,DOI,2014,Russian,Peer review,Yes,8,CC BY,True,No
Journal of Hydrology and Hydromechanics,De Gruyter Open,Poland,No,NA,DOI,2009,English,Blind peer review,Yes,8,CC BY-NC-ND,False,No
Vojnosanitetski Pregled,"Military Health Department, Ministry of Defance, Serbia",Serbia,Yes,NA,DOI,2002,"English, Serbian",Double blind peer review,Yes,16,CC BY-SA,True,No
Vojnotehnički Glasnik,University of Defence in Belgrade,Serbia,No,NA,DOI,2011,"English, Russian, Serbian",Double blind peer review,Yes,12,CC BY,True,Yes
Zapiski Historyczne,Towarzystwo Naukowe w Toruniu,Poland,No,NA,DOI,2010,"English, German, Polish",Double blind peer review,Yes,15,CC BY-NC,False,No
Acta Amazonica,Instituto Nacional de Pesquisas da Amazônia,Brazil,No,NA,DOI,2003,"English, Portuguese, Spanish; Castilian",Peer review,NA,22,CC BY-NC,False,No
Acta Medica Iranica,Tehran University of Medical Sciences,"Iran, Islamic Republic of",No,NA,,1956,English,Blind peer review,NA,18,CC BY-NC,True,No
Archivum Mathematicum,Masarykova Universita,Czech Republic,No,NA,,1965,English,Peer review,NA,35,CC BY-NC-ND,True,No
